epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,1250,0.3366796448349953,0.20342019200325012,0.8071660995483398,0.20342019200325012,1,0,8
2,2500,0.1798785692811012,0.1585802137851715,0.847766101360321,0.1585802137851715,2,0,8
3,3750,0.1470262635409832,0.1515006572008133,0.8543968796730042,0.1515006572008133,3,0,8
4,5000,0.12156921286582947,0.10842332988977432,0.8953089118003845,0.10842332988977432,4,0,8
5,6250,0.09882658443152904,0.09942841529846191,0.90389484167099,0.09942841529846191,5,0,8
6,7500,0.07905628925561906,0.08459721505641937,0.91810142993927,0.08459721505641937,6,0,8
7,8750,0.06377921983748674,0.07348696142435074,0.9288389086723328,0.07348696142435074,7,0,8
8,10000,0.05568695194423199,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,0,8
9,11250,0.05404637491554022,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,1,8
10,12500,0.05405222482085228,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,2,8
11,13750,0.054052016079425814,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,3,8
12,15000,0.05404466891437769,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,4,8
13,16250,0.05404351541697979,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,5,8
14,17500,0.05405233637988567,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,6,8
15,18750,0.05404457598477602,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,7,8
16,20000,0.054050398069620136,0.07151651382446289,0.9308075904846191,0.07151651382446289,8,8,8
