epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,625,0.304708481991291,0.1446981579065323,0.8448892831802368,0.1446981579065323,1,0,8
2,1250,0.09778297697901726,0.08403852581977844,0.9099140167236328,0.08403852581977844,2,0,8
3,1875,0.054253027260303496,0.05163073539733887,0.9446538686752319,0.05163073539733887,3,0,8
4,2500,0.036872265702486036,0.04006478562951088,0.9570521116256714,0.04006478562951088,4,0,8
5,3125,0.029820209453999998,0.03449255973100662,0.9630253314971924,0.03449255973100662,5,0,8
6,3750,0.026425893548130987,0.032238543033599854,0.9654415845870972,0.032238543033599854,6,0,8
7,4375,0.024789053370058538,0.032557256519794464,0.9650999307632446,0.032238543033599854,6,1,8
8,5000,0.023844736121594906,0.03168564289808273,0.9660342335700989,0.03168564289808273,8,0,8
9,5625,0.023282394759356975,0.03164016827940941,0.9660829901695251,0.03164016827940941,9,0,8
10,6250,0.02299930837005377,0.03128737211227417,0.966461181640625,0.03128737211227417,10,0,8
11,6875,0.02284202843606472,0.03136838227510452,0.9663743376731873,0.03128737211227417,10,1,8
12,7500,0.022758966380357744,0.03136507421731949,0.966377854347229,0.03128737211227417,10,2,8
13,8125,0.022709008188545703,0.0313461534678936,0.9663981795310974,0.03128737211227417,10,3,8
14,8750,0.022682450982928277,0.0313398502767086,0.966404914855957,0.03128737211227417,10,4,8
15,9375,0.022667685948312283,0.03133222833275795,0.9664130806922913,0.03128737211227417,10,5,8
16,10000,0.02266041003614664,0.03132517635822296,0.9664206504821777,0.03128737211227417,10,6,8
